Subject,File Path,Image Description
"DH1525_20230629","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1525_20230629/2023_06_29_dadmah_bb_dh_1525_20230629_144730_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1525_20230629","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1525_20230629/2023_06_29_dadmah_bb_dh_1525_20230629_144730_8d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1531_20230213","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1531_20230213/2023_02_13_dadmah_bb_dh_1531_20230213_135806_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1531_20230213","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1531_20230213/2023_02_13_dadmah_bb_dh_1531_20230213_135806_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1539_20230216","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1539_20230216/2023_02_16_bb_dh_1539_20230216_112303_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1539_20230216","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1539_20230216/2023_02_16_bb_dh_1539_20230216_112303_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1551_20230213","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1551_20230213/2023_02_13_dadmah_bb_dh_1551_20230213_124113_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1551_20230213","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1551_20230213/2023_02_13_dadmah_bb_dh_1551_20230213_124113_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1553_20230130","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1553_20230130/2023_01_30_dadmah_bb_dh_1553_20230130_125540_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1553_20230130","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1553_20230130/2023_01_30_dadmah_bb_dh_1553_20230130_125540_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1554_20230417","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1554_20230417/2023_04_13_dadmah_dh_1554_20230417_152949_12d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1554_20230417","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1554_20230417/2023_04_13_dadmah_dh_1554_20230417_152949_48d1_mri.mnc","		acquisition:series_description = "T1W Neuromel_TR600_1.8mm_TE10_FA120_BW180_7av " ;"
"DH1554_20230417","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1554_20230417/2023_04_13_dadmah_dh_1554_20230417_152949_8d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1558_20221003","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1558_20221003/2022_10_03_dadmah_bb_dh_1558_20221003_151019_11d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1558_20221003","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1558_20221003/2022_10_03_dadmah_bb_dh_1558_20221003_151019_12d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1567_20221011","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1567_20221011/2022_10_11_dadmah_bb_dh_1567_20221011_143338_11d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1567_20221011","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1567_20221011/2022_10_11_dadmah_bb_dh_1567_20221011_143338_12d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1575_20230130","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1575_20230130/2023_01_30_dadmah_bb_dh1575_20230130_152500_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1575_20230130","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1575_20230130/2023_01_30_dadmah_bb_dh1575_20230130_152500_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1576_20230125","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1576_20230125/2023_01_25_dadmah_bb_dh_1576_20230125_125725_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1576_20230125","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1576_20230125/2023_01_25_dadmah_bb_dh_1576_20230125_125725_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1577_20230315","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1577_20230315/2023_03_15_dadmah_1577_20230315_104931_17d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1577_20230315","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1577_20230315/2023_03_15_dadmah_1577_20230315_104931_20d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1580_20230315","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1580_20230315/2023_03_15_dadmah_1580_20230315_095622_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
"DH1580_20230315","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1580_20230315/2023_03_15_dadmah_1580_20230315_095622_8d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1581_20230216","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1581_20230216/2023_02_16_dadmah_bb_dh_1581_20230216_090106_10d1_mri.mnc","		acquisition:series_description = "acq-0.7mm_T1w_coro" ;"
"DH1581_20230216","/data/dadmah/ex_vivo_DBCBB_Data/MNC_Files/DH1581_20230216/2023_02_16_dadmah_bb_dh_1581_20230216_090106_11d1_mri.mnc","		acquisition:series_description = "T2W_space_coro" ;"
